time,x,y,z
1751971112.64101,-0.013032405,-0.041717221,0.076798344
1751971112.64898,-0.013052673,-0.041714383,0.076802795
1751971112.65696,-0.01308216,-0.04172147,0.076787722
1751971112.66505,-0.01308216,-0.04172147,0.076787722
1751971112.673,-0.013069178,-0.041731691,0.076762664
1751971112.68104,-0.01303303,-0.041699427,0.076795423
1751971112.68899,-0.01303303,-0.041699427,0.076795423
1751971112.69699,-0.013038179,-0.041710735,0.076787508
1751971112.70502,-0.013010729,-0.041708921,0.076830589
1751971112.71298,-0.013010729,-0.041708921,0.076830589
1751971112.72096,-0.01305868,-0.041708547,0.076753652
1751971112.72895,-0.013061907,-0.041724402,0.076791007
1751971112.73692,-0.013061907,-0.041724402,0.076791007
1751971112.74502,-0.013041294,-0.041697737,0.076784915
1751971112.75296,-0.013059685,-0.041710046,0.076784865
1751971112.76099,-0.013068724,-0.041729251,0.076751689
1751971112.76895,-0.013077664,-0.041705608,0.07672399
1751971112.77699,-0.013077664,-0.041705608,0.07672399
1751971112.78501,-0.01308788,-0.041715955,0.076734107
1751971112.79298,-0.013169548,-0.041690533,0.076575684
1751971112.80096,-0.013340432,-0.041668402,0.076292209
1751971112.80896,-0.013340432,-0.041668402,0.076292209
1751971112.81698,-0.013335759,-0.041712625,0.075973929
1751971112.82512,-0.013079386,-0.041873771,0.075493306
1751971112.83297,-0.012849243,-0.042011213,0.074851989
1751971112.84096,-0.012849243,-0.042011213,0.074851989
1751971112.84896,-0.012647195,-0.042235303,0.073871095
1751971112.85696,-0.012249257,-0.042439935,0.072826802
1751971112.86498,-0.012249257,-0.042439935,0.072826802
1751971112.873,-0.012061805,-0.04271287,0.071790533
1751971112.88098,-0.011814498,-0.043013546,0.070641902
1751971112.889,-0.01153871,-0.043302251,0.069511054
1751971112.89697,-0.01153871,-0.043302251,0.069511054
1751971112.90499,-0.011499058,-0.043517523,0.068459676
1751971112.91298,-0.011514278,-0.043888508,0.067164406
1751971112.92095,-0.011514278,-0.043888508,0.067164406
1751971112.92895,-0.011554456,-0.044189502,0.065779141
1751971112.93694,-0.011420878,-0.044406017,0.064797725
1751971112.94501,-0.011550055,-0.044607147,0.063319311
1751971112.95296,-0.011550055,-0.044607147,0.063319311
